query_id,query_text
1,Can I get a detailed report of my recent transactions?
2,What are the fees associated with my account?
3,Can I get a detailed report of my recent transactions?
4,Can you provide details on my credit score?
5,Why was my credit application rejected?
6,How can I improve my credit score?
7,Why was my credit application rejected?
8,Can I get a detailed report of my recent transactions?
9,What is the status of my loan application?
10,What are the fees associated with my account?
11,What is my maximum level of delinquency?
12,How can I improve my credit score?
13,How many times have I been delinquent in the past?
14,What are the fees associated with my account?
15,Why was my credit application rejected?
16,What does my approval flag status mean?
17,How can I improve my credit score?
18,What are the fees associated with my account?
19,What is the time since my last payment?
20,How many times have I been delinquent in the past?
21,Can you provide details on my credit score?
22,What is the time since my last payment?
23,What is the time since my last payment?
24,Can I get a detailed report of my recent transactions?
25,Can I get a detailed report of my recent transactions?
26,What is the status of my loan application?
27,Can I get a detailed report of my recent transactions?
28,What is the time since my last payment?
29,What is the time since my last payment?
30,Can you provide details on my credit score?
31,What is the time since my last payment?
32,Why was my credit application rejected?
33,How many times have I been delinquent in the past?
34,Can I get a detailed report of my recent transactions?
35,Why was my credit application rejected?
36,How many times have I been delinquent in the past?
37,Can you provide details on my credit score?
38,What are the fees associated with my account?
39,Can you provide details on my credit score?
40,What is the status of my loan application?
41,How can I improve my credit score?
42,Why was my credit application rejected?
43,What is the time since my last payment?
44,How can I improve my credit score?
45,Can you provide details on my credit score?
46,How many times have I been delinquent in the past?
47,Why was my credit application rejected?
48,How many times have I been delinquent in the past?
49,What are the fees associated with my account?
50,What is the status of my loan application?
51,Can I get a detailed report of my recent transactions?
52,Why was my credit application rejected?
53,How can I improve my credit score?
54,Can you provide details on my credit score?
55,How many times have I been delinquent in the past?
56,What is the time since my last payment?
57,What is my maximum level of delinquency?
58,Can you provide details on my credit score?
59,How many times have I been delinquent in the past?
60,Can I get a detailed report of my recent transactions?
61,Can you provide details on my credit score?
62,How can I improve my credit score?
63,Can you provide details on my credit score?
64,How can I improve my credit score?
65,What does my approval flag status mean?
66,How can I improve my credit score?
67,Can you provide details on my credit score?
68,What are the fees associated with my account?
69,Why was my credit application rejected?
70,What is the time since my last payment?
71,What is the status of my loan application?
72,Why was my credit application rejected?
73,What is the time since my last payment?
74,How many times have I been delinquent in the past?
75,Can I get a detailed report of my recent transactions?
76,What is the status of my loan application?
77,Why was my credit application rejected?
78,Can you provide details on my credit score?
79,What is my maximum level of delinquency?
80,What is the time since my last payment?
81,What is the status of my loan application?
82,Can I get a detailed report of my recent transactions?
83,What is the status of my loan application?
84,What does my approval flag status mean?
85,What is the time since my last payment?
86,How many times have I been delinquent in the past?
87,What is the time since my last payment?
88,What are the fees associated with my account?
89,How can I improve my credit score?
90,Can you provide details on my credit score?
91,What does my approval flag status mean?
92,What are the fees associated with my account?
